season,round,round_label,n_games,model_brier,model_accuracy
2018-19,1,R1,82,0.3234871152521758,0.5365853658536586
2018-19,2,Conf Semis,50,0.19952825656581388,0.72
2018-19,3,Conf Finals,20,0.256216493800227,0.5
2018-19,4,NBA Finals,12,0.5059605129709723,0.16666666666666666
2020-21,1,R1,86,0.22158605023898725,0.627906976744186
2020-21,2,Conf Semis,48,0.2416584949432002,0.625
2020-21,3,Conf Finals,24,0.2477001670448621,0.5833333333333334
2020-21,4,NBA Finals,12,0.19999200013747473,0.8333333333333334
2021-22,1,R1,86,0.24276145658535614,0.627906976744186
2021-22,2,Conf Semis,52,0.23515052203418327,0.5769230769230769
2021-22,3,Conf Finals,24,0.27896465087213046,0.3333333333333333
2021-22,4,NBA Finals,12,0.23477405142788843,0.5
2022-23,1,R1,86,0.2670270538345875,0.5116279069767442
2022-23,2,Conf Semis,50,0.23136457744028088,0.52
2022-23,3,Conf Finals,22,0.3735320454208529,0.45454545454545453
2022-23,4,NBA Finals,10,0.21398351457382053,0.6
2023-24,1,R1,86,0.20318353732119654,0.7209302325581395
2023-24,2,Conf Semis,50,0.25704815694257727,0.52
2023-24,3,Conf Finals,18,0.321794279129131,0.5555555555555556
2023-24,4,NBA Finals,10,0.1439526218254673,0.8
2024-25,1,R1,86,0.18040225842060673,0.6976744186046512
2024-25,2,Conf Semis,46,0.3716019997578183,0.391304347826087
2024-25,3,Conf Finals,22,0.20809012903156637,0.6363636363636364
2024-25,4,NBA Finals,14,0.26064809410546164,0.5714285714285714
